EntrezGeneID	Annotation	GOterms
SymbC1.scaffold1852.13.m1	type II toxin-antitoxin system family toxin	GO:0043565
SymbC1.scaffold1852.16.m1	AAA family ATPase	GO:0005524|GO:0005515
SymbC1.scaffold1852.19.m1	(2Fe-2S)-binding	GO:0016491|GO:0046872|GO:0009055|GO:0055114|GO:0051537
SymbC1.scaffold1852.2.m1	MFS transporter	GO:0016021|GO:0008643|GO:0015293
SymbC1.scaffold1852.20.m1	potassium transporter	GO:0006813|GO:0015299|GO:0055085|GO:0016021
SymbC1.scaffold1852.21.m1	fumarylacetoacetate hydrolase family	GO:0005515|GO:0003824
SymbC1.scaffold1852.26.m1	soluble aldose sugar dehydrogenase	GO:0009055|GO:0055114|GO:0020037|GO:0051920
SymbC1.scaffold1852.27.m1	serine protease	GO:0015299|GO:0006812|GO:0055085|GO:0016021
SymbC1.scaffold1852.28.m1	ATP-dependent metallopeptidase Yme1 Tma family	GO:0005524|GO:0009055|GO:0016020|GO:0006508|GO:0004222|GO:0020037
SymbC1.scaffold1852.29.m1	PAS domain-containing sensor histidine kinase	GO:0000155|GO:0007165|GO:0016310
SymbC1.scaffold1852.4.m1	gfo Idh family oxidoreductase	GO:0016491
SymbC1.scaffold1852.5.m1	#NAME?	GO:0016705|GO:0055114
SymbC1.scaffold1852.6.m1	solute:sodium symporter family transporter	GO:0055085|GO:0022857|GO:0016020
SymbC1.scaffold1853.1.m1	DD3-3-like isoform X1	GO:0016491|GO:0016020|GO:0055114
SymbC1.scaffold1853.2.m1	132 kDa	
SymbC1.scaffold1853.3.m1	Retrovirus-related Pol poly from transposon TNT 1-94	
SymbC1.scaffold1853.5.m1	Glucosidase 2 subunit beta	
SymbC1.scaffold1853.6.m1	hypothetical protein AK812_SmicGene22103	
SymbC1.scaffold1853.7.m1	AP-1 complex subunit gamma-1	GO:0003677|GO:0006310|GO:0015074
SymbC1.scaffold1853.8.m1	NA	
SymbC1.scaffold1853.9.m1	NAD(P) transhydrogenase subunit beta	
SymbC1.scaffold18530.1.m1	Voltage-dependent T-type calcium channel subunit alpha-1H	
SymbC1.scaffold18539.1.m1	DNA alkylation repair	
SymbC1.scaffold18539.2.m1	MULTISPECIES: hypothetical protein	GO:0005515
SymbC1.scaffold18539.3.m1	MULTISPECIES: hypothetical protein	
SymbC1.scaffold1854.1.m1	unnamed protein product	
SymbC1.scaffold1854.3.m1	peptidoglycan-binding domain	
SymbC1.scaffold18547.1.m1	HDIG domain-containing	GO:0006364|GO:0004222
SymbC1.scaffold18547.2.m1	family	GO:0005524
SymbC1.scaffold1855.1.m1	vacuolar ATP synthase subunit	GO:0000221|GO:0015991|GO:0046961
SymbC1.scaffold1855.2.m1	hypothetical protein AK812_SmicGene28733	
SymbC1.scaffold1855.3.m1	calmodulin-domain kinase	GO:0005524|GO:0004672|GO:0006468
SymbC1.scaffold1856.1.m1	NA	
SymbC1.scaffold18566.1.m1	NA	
SymbC1.scaffold1857.1.m1	Eukaryotic translation initiation factor 3 subunit A	GO:0005515
SymbC1.scaffold1857.2.m1	Elongation factor 4	GO:0005525|GO:0003924
SymbC1.scaffold1857.3.m1	Cathepsin B	GO:0006508|GO:0050790|GO:0004197
SymbC1.scaffold18572.2.m1	glycoside hydrolase	GO:0046373|GO:0046556
SymbC1.scaffold18572.4.m1	hypothetical protein DWQ29_21985	GO:0003677|GO:0004803|GO:0006313
SymbC1.scaffold18573.1.m1	Transposon Ty4-J Gag-Pol poly	
SymbC1.scaffold1858.1.m1	P-loop containing nucleoside triphosphate hydrolase	
SymbC1.scaffold1858.10.m1	hypothetical protein AK812_SmicGene9009	
SymbC1.scaffold1858.2.m1	Retrovirus-related Pol poly from transposon TNT 1-94	GO:0003677|GO:0006310|GO:0015074
SymbC1.scaffold1858.3.m1	domain-containing	
SymbC1.scaffold1858.4.m1	Inositol phosphoceramide mannosyltransferase 3	
SymbC1.scaffold1858.5.m1	hypothetical protein THAOC_37815	GO:0005524|GO:0006955|GO:0003725|GO:0051607|GO:0016740
SymbC1.scaffold1858.6.m1	cell surface p43	
SymbC1.scaffold1858.7.m1	SDR family NAD(P)-dependent oxidoreductase	GO:0016491
SymbC1.scaffold1858.8.m1	Glutamyl-tRNA(Gln) amidotransferase subunit A	GO:0004040
SymbC1.scaffold1858.9.m1	kua-ubiquitin conjugating enzyme hybrid localization domain-containing	
SymbC1.scaffold18586.1.m1	RNA-directed DNA polymerase	GO:0003964|GO:0008270|GO:0006415|GO:0003747|GO:0006278
SymbC1.scaffold18587.1.m1	Geranylgeranyl diphosphate chloroplastic	
SymbC1.scaffold1859.1.m1	LINE-1 reverse transcriptase-like	
SymbC1.scaffold1859.2.m1	Autophagy-related 18a	
SymbC1.scaffold1859.3.m1	Alpha-1,3-mannosyl-glyco 4-beta-N-acetylglucosaminyltransferase C	
SymbC1.scaffold1859.4.m1	magnesium-protoporphyrin IX methyltransferase	GO:0015995|GO:0046406
SymbC1.scaffold18591.1.m1	Light-harvesting complex I LH38	GO:0006207|GO:0016020|GO:0004590|GO:0009765
SymbC1.scaffold18592.2.m1	phage portal	GO:0005198|GO:0019068
SymbC1.scaffold18594.1.m1	hypothetical protein AK812_SmicGene15512	GO:0005515
SymbC1.scaffold18595.3.m1	DUF4976 domain-containing	GO:0003824
SymbC1.scaffold18596.1.m1	NAD(P)-dependent oxidoreductase	GO:0050662|GO:0003824
SymbC1.scaffold18598.1.m1	NA	
SymbC1.scaffold186.3.m1	hypothetical protein AK812_SmicGene30194	
SymbC1.scaffold186.4.m1	mitochondrial 2-oxodicarboxylate carrier	GO:0055085|GO:0022857
SymbC1.scaffold186.5.m1	AAA family	GO:0005524|GO:0005739|GO:0007005
SymbC1.scaffold186.6.m1	endonuclease exonuclease	GO:0006281|GO:0004518
SymbC1.scaffold1860.1.m1	NA	
SymbC1.scaffold1860.3.m1	Alpha beta hydrolase domain-containing 17A	
SymbC1.scaffold1860.4.m1	alpha beta hydrolase	GO:0003723
SymbC1.scaffold18606.1.m1	Do family serine endopeptidase	GO:0005515|GO:0006508|GO:0004252
SymbC1.scaffold1861.2.m1	hypothetical protein AK812_SmicGene5783	
SymbC1.scaffold18610.1.m1	excinuclease ABC subunit	
SymbC1.scaffold18619.1.m1	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme mitochondrial	GO:0004672
SymbC1.scaffold1862.1.m1	DEAD-box ATP-dependent RNA helicase 20	GO:0003676|GO:0005524
SymbC1.scaffold1862.2.m1	ethylene-responsive RNA helicase	GO:0003676
SymbC1.scaffold1862.3.m1	LINE-1 retrotransposable element ORF2	GO:0005515
SymbC1.scaffold1862.5.m1	NA	
SymbC1.scaffold18622.2.m1	amidohydrolase	GO:0016787
SymbC1.scaffold18627.1.m1	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase 5-amino-6-(5-phosphoribosylamino)uracil reductase	GO:0008270|GO:0008703|GO:0008835|GO:0009231|GO:0008686|GO:0055114
SymbC1.scaffold1863.1.m1	NA	
SymbC1.scaffold1863.2.m1	Inner membrane alx	GO:0005509|GO:0016021|GO:0008168
SymbC1.scaffold1863.3.m1	glyco FP21	GO:0006511
SymbC1.scaffold1863.4.m1	N-glycosylase DNA lyase OGG1	GO:0006284|GO:0006289|GO:0003684|GO:0008534
SymbC1.scaffold1863.5.m1	N-glycosylase DNA lyase OGG1	
SymbC1.scaffold1863.6.m1	polymerase 2 ADP-ribosyltransferase 2	GO:0003950
SymbC1.scaffold18631.1.m1	NA	
SymbC1.scaffold18634.2.m1	MULTISPECIES: hypothetical protein	
SymbC1.scaffold1864.1.m1	T-complex 1 subunit gamma	GO:0008113|GO:0055114
SymbC1.scaffold1864.2.m1	CBL-interacting kinase 25	
SymbC1.scaffold1864.4.m1	NA	
SymbC1.scaffold1864.5.m1	Cna B-type domain	GO:0051015|GO:0006508|GO:0004252|GO:0030674
SymbC1.scaffold1864.6.m1	leucine-tRNA ligase	GO:0005524|GO:0006418|GO:0004812
SymbC1.scaffold18642.1.m1	mitochondrial substrate carrier family	GO:0055085|GO:0022857
SymbC1.scaffold1865.1.m1	NA	
SymbC1.scaffold1865.3.m1	Copia	
SymbC1.scaffold18651.1.m1	xanthine dehydrogenase family molybdopterin-binding subunit	GO:0016491|GO:0055114
SymbC1.scaffold18653.2.m1	nitrite reductase (NAD(P)H) small subunit	GO:0050661|GO:0050660|GO:0055114|GO:0051537|GO:0008942|GO:0020037|GO:0042128
SymbC1.scaffold18656.1.m1	Protein FAM3B	
SymbC1.scaffold18656.2.m1	Protein FAM3B	
SymbC1.scaffold1866.2.m1	E3 ubiquitin- ligase LRSAM1 isoform X1	
SymbC1.scaffold1867.2.m1	NA	
SymbC1.scaffold1867.3.m1	GTP cyclohydrolase II	
SymbC1.scaffold1867.4.m1	hypothetical protein AK812_SmicGene7290	
SymbC1.scaffold1867.5.m1	Digestive cysteine ase 2	GO:0003677|GO:0006310|GO:0015074
SymbC1.scaffold18671.2.m1	ribosome recycling factor	GO:0016765|GO:0006412
SymbC1.scaffold18671.3.m1	UMP kinase	GO:0003746|GO:0006414
SymbC1.scaffold18673.1.m1	NA	
SymbC1.scaffold1868.3.m1	Tetracycline resistance class G	
SymbC1.scaffold1868.4.m1	Neurofilament heavy polypeptide	
SymbC1.scaffold1869.1.m1	Extended synaptotagmin-3	
SymbC1.scaffold1869.2.m1	epsilon frustilin	
SymbC1.scaffold1869.3.m1	extended synaptotagmin-2-like	GO:0008289
SymbC1.scaffold1869.4.m1	NA	
SymbC1.scaffold18698.2.m1	sigma-54-dependent Fis family transcriptional regulator	GO:0000155|GO:0005524|GO:0000160|GO:0016021|GO:0006355|GO:0043565|GO:0008134|GO:0016310
SymbC1.scaffold18699.2.m1	mononuclear molybdenum enzyme	GO:0042128
SymbC1.scaffold1870.1.m1	Desert hedgehog B	GO:0007275|GO:0006508|GO:0007267|GO:0008233
SymbC1.scaffold1870.2.m1	MEI2-like 3	GO:0003676
SymbC1.scaffold18700.2.m1	hypothetical protein	
SymbC1.scaffold18704.1.m1	pilus assembly	
SymbC1.scaffold18708.1.m1	NA	
SymbC1.scaffold18711.1.m1	NA	
SymbC1.scaffold18714.1.m1	DUF4404 family	
SymbC1.scaffold18714.2.m1	PDZ domain-containing	GO:0005515|GO:0006508|GO:0004252
SymbC1.scaffold18721.1.m1	phosphogluconate dehydrogenase (NADP(+)- decarboxylating)	GO:0004616|GO:0006098|GO:0055114
SymbC1.scaffold18721.2.m1	glucose-6-phosphate dehydrogenase	GO:0050661|GO:0055114|GO:0006006|GO:0004345
SymbC1.scaffold18725.1.m1	DUF91 domain-containing	GO:0003677|GO:0004518|GO:0006304
SymbC1.scaffold18727.2.m1	peptidase	
SymbC1.scaffold1873.1.m1	core-2 i-branching beta--n-acetylglucosaminyltransferase family	GO:0005515
SymbC1.scaffold1874.1.m1	Retrovirus-related Pol poly from transposon TNT 1-94	
SymbC1.scaffold1874.2.m1	transcription factor IIH subunit	GO:0003677|GO:0005524|GO:0006289|GO:0004003|GO:0006367
SymbC1.scaffold1874.3.m1	NA	
SymbC1.scaffold18743.1.m1	NA	
SymbC1.scaffold18744.1.m1	Na(+)-translocating NADH-quinone reductase subunit A	GO:0006814|GO:0055114|GO:0016655
SymbC1.scaffold1875.2.m1	Alpha-1,3-mannosyl-glyco 2-beta-N-acetylglucosaminyltransferase	
SymbC1.scaffold1875.3.m1	Replication A 70 kDa DNA-binding subunit	
SymbC1.scaffold1875.4.m1	hypothetical protein AK812_SmicGene29321	
SymbC1.scaffold1875.5.m1	E3 ubiquitin- ligase HERC1	
SymbC1.scaffold1875.6.m1	hydroxyacylglutathione mitochondrial isoform X1	GO:0004416|GO:0019243
SymbC1.scaffold1875.8.m1	DNA repair REV1	
SymbC1.scaffold1875.9.m1	Acyl-coenzyme A thioesterase 8	GO:0005515
SymbC1.scaffold18750.1.m1	Thrombospondin-type laminin G domain and EAR repeat-containing	
SymbC1.scaffold18754.1.m1	sorbosone dehydrogenase family	GO:0003824
SymbC1.scaffold1877.1.m1	Eukaryotic translation initiation factor isoform 4G-2	GO:0008168
SymbC1.scaffold18772.1.m1	NA	
SymbC1.scaffold18775.1.m1	transcriptional regulator	
SymbC1.scaffold18778.1.m1	ABC transporter substrate-binding	
SymbC1.scaffold18785.1.m1	diguanylate cyclase	
SymbC1.scaffold18789.1.m1	Ubiquitin-conjugating enzyme E2 11	
SymbC1.scaffold18799.1.m1	MULTISPECIES: family	
SymbC1.scaffold188.1.m1	SRSF kinase 1	GO:0005515|GO:0006508|GO:0005576
SymbC1.scaffold188.4.m1	hypothetical protein AK812_SmicGene36346	
SymbC1.scaffold1880.1.m1	nucleolar GTP-binding	GO:0005525
SymbC1.scaffold1880.2.m1	Caltractin ICL1a	GO:0005515|GO:0005509
SymbC1.scaffold1880.3.m1	Pseudouridylate synthase 7-like	
SymbC1.scaffold1880.4.m1	tetratricopeptide repeat-containing	GO:0005515
SymbC1.scaffold18806.1.m1	High-affnity carbon uptake Hat	
SymbC1.scaffold1881.1.m1	Tyrosine kinase-like (TKL)	GO:0004672|GO:0006468
SymbC1.scaffold1881.10.m1	NA	
SymbC1.scaffold1881.3.m1	hypothetical protein AK812_SmicGene40061	
SymbC1.scaffold1881.4.m1	Retrovirus-related Pol poly from transposon TNT 1-94	
SymbC1.scaffold1881.5.m1	TKL kinase	
SymbC1.scaffold1881.7.m1	NA	
SymbC1.scaffold1881.9.m1	Pentatricopeptide repeat-containing chloroplastic	GO:0003950
SymbC1.scaffold18812.1.m1	Retrovirus-related Pol poly from transposon TNT 1-94	
SymbC1.scaffold18814.1.m1	MULTISPECIES: FHA domain-containing	
SymbC1.scaffold18815.1.m1	NA	
SymbC1.scaffold1882.4.m1	Potassium voltage-gated channel subfamily C member 2	GO:0003677|GO:0006310|GO:0015074
SymbC1.scaffold1882.5.m1	hypothetical protein AK812_SmicGene12770	GO:0016491|GO:0055114
SymbC1.scaffold18821.2.m1	integral membrane	GO:0005515
SymbC1.scaffold18828.2.m1	Flagellar hook-associated	GO:0005198|GO:0071973
SymbC1.scaffold1883.1.m1	myosin-1-like isoform X1	GO:0016459|GO:0005524|GO:0003774
SymbC1.scaffold1883.2.m1	CUGBP Elav-like family member 4	
SymbC1.scaffold1883.3.m1	glycoside hydrolase family 5	GO:0005975|GO:0004553
SymbC1.scaffold18831.1.m1	NA	
SymbC1.scaffold18835.1.m1	DUF1583 domain-containing	
SymbC1.scaffold1884.1.m1	Tagatose-6-phosphate kinase	GO:0016787
SymbC1.scaffold1884.2.m1	NA	
SymbC1.scaffold1884.4.m1	Retrovirus-related Pol poly from transposon TNT 1-94	GO:0046872
SymbC1.scaffold1884.6.m1	Lateral signaling target 2 homolog	GO:0046872|GO:0000281|GO:0000724|GO:0032266
SymbC1.scaffold1884.9.m1	4-hydroxyphenylpyruvate dioxygenase	GO:0009072|GO:0003868|GO:0055114
SymbC1.scaffold18841.1.m1	NA	
SymbC1.scaffold18843.1.m1	O-antigen ligase family	
SymbC1.scaffold1885.1.m1	dehydrogenase reductase SDR family member on chromosome X	
SymbC1.scaffold1885.2.m1	NA	
SymbC1.scaffold1885.4.m1	RCC1 and BTB domain-containing 2	
SymbC1.scaffold1885.5.m1	Carboxylic acid reductase	
SymbC1.scaffold1885.6.m1	NA	
SymbC1.scaffold18855.3.m1	DUF2088 domain-containing	
SymbC1.scaffold18857.1.m1	hypothetical protein	
SymbC1.scaffold18857.2.m1	formylmethanofuran dehydrogenase subunit A	GO:0016810
SymbC1.scaffold1886.2.m1	Electron transfer flavo -ubiquinone mitochondrial	GO:0046872
SymbC1.scaffold1886.4.m1	NA	
SymbC1.scaffold18869.1.m1	NA	
SymbC1.scaffold1888.1.m1	Chymotrypsinogen B	GO:0006508|GO:0004252
SymbC1.scaffold1888.10.m1	Ankyrin repeat and KH domain-containing 1	GO:0005515
SymbC1.scaffold1888.2.m1	probable calcium-binding CML22	GO:0005515|GO:0005509
SymbC1.scaffold1888.3.m1	vacuolar amino acid	
SymbC1.scaffold1888.4.m1	dual specificity phosphatase 12-like	GO:0006470|GO:0008138
SymbC1.scaffold1888.5.m1	hypothetical protein AK812_SmicGene31164	
SymbC1.scaffold1888.6.m1	Ubiquitin and WLM domain-containing	GO:0019825|GO:0020037
SymbC1.scaffold1888.7.m1	Retrovirus-related Pol poly from transposon TNT 1-94	GO:0003676|GO:0015074
SymbC1.scaffold1888.8.m1	NA	
SymbC1.scaffold1888.9.m1	NA	GO:0005515
SymbC1.scaffold18880.1.m1	Potassium channel KOR1	GO:0005515
SymbC1.scaffold18887.1.m1	glutamine synthetase	GO:0006542|GO:0004356
SymbC1.scaffold18889.1.m1	hypothetical protein	
SymbC1.scaffold1889.1.m1	hypothetical protein AK812_SmicGene2928	
SymbC1.scaffold1889.2.m1	hypothetical protein AK812_SmicGene2928	
SymbC1.scaffold1889.3.m1	General transcription factor IIH subunit 1	GO:0006351|GO:0000439|GO:0006289
SymbC1.scaffold1889.4.m1	major facilitator superfamily	GO:0055085|GO:0016021
SymbC1.scaffold1889.5.m1	related to PRC1-carboxypeptidase serine-type protease	GO:0006508|GO:0004185
SymbC1.scaffold1889.6.m1	unnamed protein product	
SymbC1.scaffold1889.7.m1	Adenosine deaminase	
SymbC1.scaffold1889.8.m1	phospholipase B-like 2	
SymbC1.scaffold1889.9.m1	LINE-1 retrotransposable element ORF2	GO:0046872
SymbC1.scaffold18895.2.m1	diguanylate cyclase	
SymbC1.scaffold189.1.m1	Nitric oxide synthase-interacting	
SymbC1.scaffold189.2.m1	arginine N-methyltransferase	
SymbC1.scaffold189.3.m1	NA	
SymbC1.scaffold189.4.m1	hypothetical protein AK812_SmicGene37920	
SymbC1.scaffold189.5.m1	Copia	GO:0015074
SymbC1.scaffold1890.4.m1	tubulin tyrosine ligase-like member 5 (macronuclear)	GO:0005524|GO:0006464
SymbC1.scaffold1890.6.m1	Ankyrin repeat domain-containing 17	
SymbC1.scaffold1890.7.m1	NA	
SymbC1.scaffold1891.1.m1	hypothetical protein AK812_SmicGene4132	
SymbC1.scaffold1891.10.m1	NA	
SymbC1.scaffold1891.2.m1	hypothetical protein AK812_SmicGene800	
SymbC1.scaffold1891.4.m1	hypothetical protein AK812_SmicGene36875	
SymbC1.scaffold1891.5.m1	hypothetical protein AK812_SmicGene5197	
SymbC1.scaffold1891.8.m1	nitrite transporter nar1	GO:0055085|GO:0022857|GO:0016020
SymbC1.scaffold1891.9.m1	Inositol-1,4,5-trisphosphate 5-phosphatase 1	GO:0045454
SymbC1.scaffold18911.1.m1	NA	
SymbC1.scaffold18915.1.m1	Ankyrin repeat domain-containing 50	GO:0003677|GO:0006310|GO:0015074
SymbC1.scaffold1892.2.m1	hypothetical protein AK812_SmicGene7830	
SymbC1.scaffold1892.3.m1	Attractin 1	
SymbC1.scaffold1892.4.m1	NA	
SymbC1.scaffold18930.1.m1	NA	GO:0005515
SymbC1.scaffold18939.2.m1	DUF3267 domain-containing	
SymbC1.scaffold1894.1.m1	acyltransferase family	GO:0016747
SymbC1.scaffold1894.2.m1	cytochrome P450	GO:0005506|GO:0016705|GO:0055114|GO:0020037
SymbC1.scaffold1894.3.m1	rhodanese-like domain-containing	
SymbC1.scaffold1894.4.m1	casein kinase 1 isoform 1	GO:0005524|GO:0004672|GO:0006468
SymbC1.scaffold18947.1.m1	glycogen debranching enzyme	GO:0016832|GO:0005975|GO:0004553
SymbC1.scaffold1895.1.m1	NA	
SymbC1.scaffold1895.3.m1	NA	
SymbC1.scaffold18955.1.m1	DUF1549 domain-containing	
SymbC1.scaffold1896.1.m1	ABC transporter G family member 24	
SymbC1.scaffold1896.3.m1	Casein kinase I	GO:0004601|GO:0006979|GO:0055114|GO:0020037
SymbC1.scaffold18966.1.m1	alanine--tRNA ligase	GO:0003676|GO:0005524|GO:0005737|GO:0004813|GO:0006419
SymbC1.scaffold18967.2.m1	Regulatory 1	
SymbC1.scaffold1897.1.m1	Ammonium transporter 2	
SymbC1.scaffold1897.2.m1	Non-specific lipid-transfer	GO:0016747
SymbC1.scaffold1897.3.m1	ATP-dependent RNA helicase DB10	GO:0003676|GO:0005524
SymbC1.scaffold1897.4.m1	Acyl- dehydrogenase	GO:0016627|GO:0050660|GO:0055114
SymbC1.scaffold1897.6.m1	50S ribosomal L27	GO:0003735|GO:0005840|GO:0006412
SymbC1.scaffold18972.1.m1	hypothetical protein	
SymbC1.scaffold18976.1.m1	molecular chaperone	
SymbC1.scaffold1898.1.m1	GHMP kinase	GO:0005524|GO:0006012|GO:0046835|GO:0004335
SymbC1.scaffold1898.2.m1	translocation SEC61 gamma subunit	GO:0006605|GO:0015450|GO:0016020
SymbC1.scaffold18987.1.m1	hypothetical protein DWQ29_23250	
SymbC1.scaffold18987.2.m1	biotin--[acetyl- -carboxylase] ligase	GO:0006464|GO:0004077
SymbC1.scaffold1899.1.m1	Creatine kinase S- mitochondrial	
SymbC1.scaffold1899.2.m1	type I polyketide synthase	
SymbC1.scaffold1899.3.m1	type I polyketide synthase	GO:0003824
SymbC1.scaffold18990.2.m1	MULTISPECIES: hypothetical protein	
SymbC1.scaffold18991.1.m1	Transketolase	
SymbC1.scaffold18993.1.m1	NADH-quinone oxidoreductase subunit L	GO:0008137|GO:0042773
SymbC1.scaffold18996.3.m1	coproporphyrinogen III oxidase family	GO:0003824|GO:0051536
SymbC1.scaffold18997.1.m1	alpha beta hydrolase	
SymbC1.scaffold19.1.m1	NTE family	GO:0006629
SymbC1.scaffold19.10.m1	tetratricopeptide repeat	GO:0003677|GO:0005515|GO:0000160|GO:0006355
SymbC1.scaffold19.101.m1	1,2-phenylacetyl- epoxidase subunit A	GO:0016747|GO:0097266|GO:0010124
SymbC1.scaffold19.103.m1	phenylacetic acid degradation bifunctional	GO:0055114|GO:0016620
SymbC1.scaffold19.106.m1	pyruvate dehydrogenase	GO:0016624
SymbC1.scaffold19.108.m1	Signal transduction histidine kinase	GO:0000155|GO:0007165
SymbC1.scaffold19.112.m1	outer membrane autotransporter	
SymbC1.scaffold19.113.m1	Histidine kinase	GO:0000155|GO:0000160|GO:0016310
SymbC1.scaffold19.115.m1	3-deoxy-manno-octulosonate cytidylyltransferase	GO:0008690
SymbC1.scaffold19.118.m1	FMN-dependent NADH-azoreductase	GO:0016661|GO:0055114
SymbC1.scaffold19.127.m1	DUF423 domain-containing	
SymbC1.scaffold19.139.m1	dihydrolipoyl dehydrogenase	GO:0050660|GO:0009055|GO:0045454|GO:0055114|GO:0051920
SymbC1.scaffold19.14.m1	cobaltochelatase subunit	GO:0016887|GO:0005524
SymbC1.scaffold19.140.m1	glutathione S-transferase	GO:0005515
SymbC1.scaffold19.147.m1	enoyl- hydratase isomerase family	GO:0003676|GO:0015035|GO:0005509
SymbC1.scaffold19.148.m1	class I SAM-dependent RNA methyltransferase	GO:0008173|GO:0003723|GO:0006396|GO:0032259
SymbC1.scaffold19.152.m1	acyl- dehydrogenase	GO:0030170|GO:0016627|GO:0050660|GO:0016805|GO:0030151|GO:0006508|GO:0055114
SymbC1.scaffold19.155.m1	FAD-binding oxidoreductase	GO:0071949|GO:0016491|GO:0055114
SymbC1.scaffold19.158.m1	sigma-54-dependent Fis family transcriptional regulator	GO:0000155|GO:0005524|GO:0000160|GO:0006355|GO:0043565|GO:0008134|GO:0016310
SymbC1.scaffold19.160.m1	polysaccharide export	GO:0015159|GO:0015774|GO:0016020
SymbC1.scaffold19.166.m1	30S ribosomal S1	GO:0004127|GO:0005524|GO:0003723|GO:0003735|GO:0005840|GO:0006139|GO:0006412
SymbC1.scaffold19.168.m1	dTDP-glucose 4,6-dehydratase	GO:0016779|GO:0008460|GO:0009225|GO:0009058
SymbC1.scaffold19.17.m1	DNA repair	GO:0005524|GO:0006281|GO:0008094|GO:0003684
SymbC1.scaffold19.172.m1	glutathione S-transferase family	GO:0005515
SymbC1.scaffold19.174.m1	SRPBCC domain-containing	
SymbC1.scaffold19.176.m1	HD-GYP domain-containing	
SymbC1.scaffold19.180.m1	family phenazine biosynthesis	GO:0003824|GO:0009058
SymbC1.scaffold19.181.m1	bifunctional hydroxymethylpyrimidine kinase phosphomethylpyrimidine kinase	GO:0008972|GO:0009228
SymbC1.scaffold19.185.m1	ATP-dependent metallopeptidase Yme1 Tma family	GO:0051301|GO:0005524|GO:0005515|GO:0016879|GO:0005737|GO:0008033|GO:0016020|GO:0006508|GO:0004222
SymbC1.scaffold19.186.m1	Tol-Pal system	GO:0051301|GO:0055085|GO:0022857|GO:0016021|GO:0009279|GO:0043213|GO:0042597|GO:0017038
SymbC1.scaffold19.188.m1	Holliday junction branch migration DNA helicase	GO:0003677|GO:0005524|GO:0006281|GO:0006310|GO:0009379|GO:0009378|GO:0004520
SymbC1.scaffold19.199.m1	DNA mismatch repair	GO:0005524|GO:0005515|GO:0006298|GO:0030983
SymbC1.scaffold19.207.m1	2-oxoglutarate dehydrogenase E1 component	GO:0030976|GO:0005524|GO:0046872|GO:0004591|GO:0008168|GO:0006099
SymbC1.scaffold19.208.m1	UDP-N-acetylmuramate--alanine ligase	GO:0005524|GO:0009058|GO:0016874
SymbC1.scaffold19.211.m1	epoxide hydrolase	GO:0003824
SymbC1.scaffold19.213.m1	N-carbamoylputrescine amidase	GO:0006807
SymbC1.scaffold19.22.m1	family	GO:0055085|GO:0015562|GO:0016020
SymbC1.scaffold19.221.m1	glutamate--cysteine ligase	GO:0006750|GO:0008168|GO:0006364|GO:0004357
SymbC1.scaffold19.222.m1	4-hydroxybenzoate octaprenyltransferase	GO:0004659|GO:0016021
SymbC1.scaffold19.223.m1	peptide-methionine (R)-S-oxide reductase	GO:0055114|GO:0033743
SymbC1.scaffold19.225.m1	M81 family peptidase	GO:0048037
SymbC1.scaffold19.226.m1	transcriptional regulator	
SymbC1.scaffold19.227.m1	NAD(P)-dependent oxidoreductase	GO:0050662|GO:0003824
SymbC1.scaffold19.23.m1	transferase	GO:0003824
SymbC1.scaffold19.234.m1	MATE family efflux transporter	GO:0006855|GO:0003824|GO:0015297|GO:0016020|GO:0015238
SymbC1.scaffold19.235.m1	acyl- dehydrogenase	GO:0008270|GO:0016627|GO:0050660|GO:0008251|GO:0055114|GO:0002100
SymbC1.scaffold19.236.m1	rRNA pseudouridine synthase	GO:0001522|GO:0003723|GO:0031167|GO:0008168|GO:0009982
SymbC1.scaffold19.237.m1	family metallophosphoesterase	
SymbC1.scaffold19.238.m1	SDR family oxidoreductase	
SymbC1.scaffold19.240.m1	family DNA-binding transcriptional regulator	
SymbC1.scaffold19.241.m1	hybrid sensor histidine kinase response regulator	GO:0000155|GO:0000160|GO:0016310
SymbC1.scaffold19.242.m1	hypothetical protein	GO:0003746|GO:0005737|GO:0016052|GO:0004553|GO:0030246|GO:0006414
SymbC1.scaffold19.244.m1	universal stress	
SymbC1.scaffold19.245.m1	elongation factor 4	GO:0005525|GO:0015035|GO:0003924
SymbC1.scaffold19.248.m1	DNA mismatch repair endonuclease	GO:0016887|GO:0005524|GO:0032300|GO:0006298|GO:0030983
SymbC1.scaffold19.251.m1	TIGR01459 family HAD-type hydrolase	GO:0009231|GO:0008531|GO:0003919
SymbC1.scaffold19.252.m1	cell envelope biogenesis	GO:0016021|GO:0009279
SymbC1.scaffold19.253.m1	chaperonin	GO:0005524|GO:0005737|GO:0016021|GO:0042026
SymbC1.scaffold19.258.m1	EAL domain-containing	
SymbC1.scaffold19.259.m1	glycosyltransferase family 2	
SymbC1.scaffold19.26.m1	dienelactone hydrolase	
SymbC1.scaffold19.260.m1	threonine--tRNA ligase	GO:0005524|GO:0005737|GO:0004829|GO:0006435
SymbC1.scaffold19.261.m1	M23 family peptidase	
SymbC1.scaffold19.262.m1	VPLPA-CTERM sorting domain-containing	GO:0005515
