EntrezGeneID	Annotation
aten_0.1.m1.20888.m1	sprouty homolog 2-like
aten_0.1.m1.20889.m1	fibroblast growth factor 18-like
aten_0.1.m1.2089.m1	collagen alpha chain-like
aten_0.1.m1.20890.m1	fibroblast growth factor 18-like isoform X1
aten_0.1.m1.20891.m1	Retrovirus-related Pol poly from transposon
aten_0.1.m1.20892.m1	LIGHT-DEPENDENT SHORT HYPOCOTYLS 6
aten_0.1.m1.20894.m1	WD repeat-containing 19
aten_0.1.m1.20896.m1	PREDICTED: uncharacterized protein LOC107350906
aten_0.1.m1.20898.m1	---NA---
aten_0.1.m1.20899.m1	THAP domain-containing 2
aten_0.1.m1.209.m1	mitochondrial-like isoform X2
aten_0.1.m1.2090.m1	nucleotide-binding oligomerization domain-containing 1-like
aten_0.1.m1.20901.m1	otoferlin-like isoform X3
aten_0.1.m1.20902.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.20903.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.20905.m1	ATP-dependent DNA helicase PIF1
aten_0.1.m1.20907.m1	Poly(ADP-ribose) glycohydrolase ARH3
aten_0.1.m1.20908.m1	fibroblast growth factor receptor-like 1
aten_0.1.m1.20909.m1	intraflagellar transport 52 homolog
aten_0.1.m1.2091.m1	nucleotide-binding oligomerization domain-containing 2-like
aten_0.1.m1.20910.m1	---NA---
aten_0.1.m1.20911.m1	PREDICTED: uncharacterized protein LOC107350131
aten_0.1.m1.20912.m1	fibroblast growth factor receptor 4-like
aten_0.1.m1.20913.m1	intraflagellar transport 52 homolog
aten_0.1.m1.20914.m1	PREDICTED: uncharacterized protein LOC107354843
aten_0.1.m1.20915.m1	fibroblast growth factor receptor 2-like isoform X2
aten_0.1.m1.20916.m1	fibroblast growth factor receptor-like 1
aten_0.1.m1.20917.m1	LIGHT-DEPENDENT SHORT HYPOCOTYLS 6
aten_0.1.m1.20918.m1	gliding motility regulatory -like
aten_0.1.m1.20919.m1	OTU domain-containing
aten_0.1.m1.2092.m1	SCO-spondin-like isoform X1
aten_0.1.m1.20921.m1	fibroblast growth factor receptor 2-like isoform X1
aten_0.1.m1.20922.m1	PREDICTED: uncharacterized protein LOC107328277
aten_0.1.m1.20923.m1	fibroblast growth factor receptor 2-like isoform X1
aten_0.1.m1.20924.m1	Tetratricopeptide repeat 28
aten_0.1.m1.20925.m1	nuclear apoptosis-inducing factor 1-like isoform X1
aten_0.1.m1.20926.m1	---NA---
aten_0.1.m1.20927.m1	uncharacterized transposon-derived
aten_0.1.m1.20928.m1	PREDICTED: uncharacterized protein LOC107357678, partial
aten_0.1.m1.2093.m1	SCO-spondin-like isoform X1
aten_0.1.m1.20930.m1	branchpoint-bridging -like
aten_0.1.m1.20932.m1	RNA-directed DNA polymerase from transposon BS
aten_0.1.m1.20934.m1	fibroblast growth factor receptor 2-like isoform X1
aten_0.1.m1.20935.m1	fibroblast growth factor receptor 2-like isoform X1
aten_0.1.m1.20936.m1	hypothetical protein AWC38_SpisGene23758
aten_0.1.m1.20937.m1	---NA---
aten_0.1.m1.20938.m1	Acyl-coenzyme A amino acid N-acyltransferase 2
aten_0.1.m1.20939.m1	RNA-directed DNA polymerase from mobile element jockey-like
aten_0.1.m1.2094.m1	SCO-spondin-like isoform X1
aten_0.1.m1.20941.m1	P2X purinoceptor 7-like
aten_0.1.m1.20943.m1	RNA-directed DNA polymerase from mobile element jockey
aten_0.1.m1.20944.m1	RNA-directed DNA polymerase from transposon X-element
aten_0.1.m1.20945.m1	---NA---
aten_0.1.m1.20946.m1	fibroblast growth factor receptor 2-like isoform X1
aten_0.1.m1.20949.m1	Zinc finger MYM-type 2
aten_0.1.m1.2095.m1	Mitochondrial substrate carrier family ucpB
aten_0.1.m1.20951.m1	PREDICTED: uncharacterized protein LOC106702191
aten_0.1.m1.20952.m1	tigger transposable element-derived 6-like
aten_0.1.m1.20954.m1	cytosolic purine 5 -nucleotidase-like isoform X1
aten_0.1.m1.20955.m1	cytosolic purine 5 -nucleotidase-like isoform X1
aten_0.1.m1.20957.m1	piggyBac transposable element-derived 4-like
aten_0.1.m1.20958.m1	hypothetical protein AC249_AIPGENE17520
aten_0.1.m1.20959.m1	PREDICTED: uncharacterized protein LOC105443158
aten_0.1.m1.2096.m1	collagen alpha-1(I) chain-like
aten_0.1.m1.20960.m1	RNA-directed DNA polymerase from transposon X-element
aten_0.1.m1.20962.m1	THAP domain-containing 2-like
aten_0.1.m1.20963.m1	G2 M phase-specific E3 ubiquitin- ligase isoform X1
aten_0.1.m1.20966.m1	FRA10AC1 homolog
aten_0.1.m1.20967.m1	Phosphatidate phosphatase PPAPDC1A
aten_0.1.m1.20969.m1	FRA10AC1 homolog
aten_0.1.m1.2097.m1	collagen alpha-1(I) chain-like
aten_0.1.m1.20970.m1	Xanthine dehydrogenase oxidase
aten_0.1.m1.20972.m1	Integrase recombinase xerD-like
aten_0.1.m1.20974.m1	HEG-like 1
aten_0.1.m1.20976.m1	hypothetical protein AC249_AIPGENE18290
aten_0.1.m1.20977.m1	ATP-dependent DNA helicase PIF1
aten_0.1.m1.20978.m1	nuclease HARBI1
aten_0.1.m1.20979.m1	RNA-directed DNA polymerase from mobile element jockey-like
aten_0.1.m1.2098.m1	NGFI-A-binding 1-like
aten_0.1.m1.20981.m1	centrosomal of 83 kDa-like isoform X1
aten_0.1.m1.20983.m1	Chymotrypsinogen B2
aten_0.1.m1.20984.m1	Werner syndrome ATP-dependent helicase-like 1
aten_0.1.m1.20986.m1	Receptor-type tyrosine- phosphatase F
aten_0.1.m1.20987.m1	centrosomal of 83 kDa-like isoform X1
aten_0.1.m1.20988.m1	Retrovirus-related Pol poly from type-1 retrotransposable element R2
aten_0.1.m1.20989.m1	PREDICTED: uncharacterized protein LOC107340772
aten_0.1.m1.20990.m1	cyclin-Y 1
aten_0.1.m1.20991.m1	Alpha-1,3-mannosyl-glyco 2-beta-N-acetylglucosaminyltransferase
aten_0.1.m1.20992.m1	bis(5 -adenosyl)-triphosphatase enpp4-like
aten_0.1.m1.20993.m1	PREDICTED: uncharacterized protein LOC107340778 isoform X1
aten_0.1.m1.20994.m1	PREDICTED: uncharacterized protein LOC107340772
aten_0.1.m1.20995.m1	tetratricopeptide repeat 25-like
aten_0.1.m1.20996.m1	hydroxysteroid 11-beta-dehydrogenase 1
aten_0.1.m1.20997.m1	nucleolar 58
aten_0.1.m1.20998.m1	PREDICTED: uncharacterized protein LOC107354655 isoform X2
aten_0.1.m1.20999.m1	dermatan-sulfate epimerase
aten_0.1.m1.21.m1	PREDICTED: uncharacterized protein LOC107347277
aten_0.1.m1.210.m1	PREDICTED: uncharacterized protein LOC107339036
aten_0.1.m1.2100.m1	Collagen alpha-5(VI) chain
aten_0.1.m1.21000.m1	flap endonuclease GEN homolog 1-like
aten_0.1.m1.21001.m1	Coatomer subunit zeta-1
aten_0.1.m1.21002.m1	carbohydrate sulfotransferase 11-like
aten_0.1.m1.21003.m1	Endonuclease 8-like 1
aten_0.1.m1.21004.m1	BANP isoform X1
aten_0.1.m1.21006.m1	FK506-binding 2-like
aten_0.1.m1.21007.m1	uncharacterized protein LOC111333192
aten_0.1.m1.21008.m1	MPN domain-containing -like
aten_0.1.m1.21009.m1	RNA-dependent RNA polymerase 1
aten_0.1.m1.2101.m1	hypothetical protein AC249_AIPGENE26756
aten_0.1.m1.21010.m1	Lysine-specific demethylase 8
aten_0.1.m1.21011.m1	puromycin-sensitive aminopeptidase-like
aten_0.1.m1.21012.m1	N-terminal Xaa-Pro-Lys N-methyltransferase 1-B-like
aten_0.1.m1.21013.m1	supervillin-like isoform X1
aten_0.1.m1.21014.m1	pleckstrin homology domain-containing family A member 8-like
aten_0.1.m1.21015.m1	potassium channel subfamily K member 9-like
aten_0.1.m1.21016.m1	G- -signaling modulator 2-like
aten_0.1.m1.21017.m1	ac transposable element-derived 1
aten_0.1.m1.21018.m1	PREDICTED: uncharacterized protein LOC107329077 isoform X1
aten_0.1.m1.21019.m1	Dr1 isoform X2
aten_0.1.m1.2102.m1	PREDICTED: uncharacterized protein LOC107332274
aten_0.1.m1.21020.m1	mannose-1-phosphate guanyltransferase alpha-A-like
aten_0.1.m1.21021.m1	structural maintenance of chromosomes
aten_0.1.m1.21022.m1	PREDICTED: uncharacterized protein LOC107351911
aten_0.1.m1.21023.m1	transcription factor PML
aten_0.1.m1.21024.m1	THAP domain-containing 4
aten_0.1.m1.21025.m1	Coagulation factor V
aten_0.1.m1.21026.m1	proliferation-associated 2G4-like
aten_0.1.m1.21027.m1	phospholipase DDHD1-like
aten_0.1.m1.21028.m1	carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1-like
aten_0.1.m1.21029.m1	neuropeptide FF receptor 2-like
aten_0.1.m1.2103.m1	collagen alpha-3(VI) chain-like isoform X1
aten_0.1.m1.21030.m1	ubiquitin-conjugating enzyme E2 E1-like
aten_0.1.m1.21031.m1	fibroblast growth factor 16-like
aten_0.1.m1.21032.m1	ubiquitin-conjugating enzyme E2 E3
aten_0.1.m1.21033.m1	charged multivesicular body 2a
aten_0.1.m1.21034.m1	dnaJ homolog subfamily C member 7-like
aten_0.1.m1.21035.m1	atrial natriuretic peptide receptor 1-like
aten_0.1.m1.21036.m1	synaptosomal-associated 25-like
aten_0.1.m1.21037.m1	probable G- coupled receptor No9
aten_0.1.m1.21038.m1	Mitochondrial assembly of ribosomal large subunit 1
aten_0.1.m1.21039.m1	D-threo-3-hydroxyaspartate dehydratase-like isoform X1
aten_0.1.m1.2104.m1	PREDICTED: uncharacterized protein LOC107332274
aten_0.1.m1.21040.m1	probable G- coupled receptor No9
aten_0.1.m1.21041.m1	fumarylacetoacetase-like isoform X1
aten_0.1.m1.21043.m1	probable G- coupled receptor No9
aten_0.1.m1.21044.m1	fumarylacetoacetase
aten_0.1.m1.21049.m1	N-glycosylase DNA lyase-like
aten_0.1.m1.21050.m1	tyrosine- phosphatase non-receptor type 21-like
aten_0.1.m1.21051.m1	TGF-beta receptor type-1
aten_0.1.m1.21053.m1	fumarylacetoacetase-like isoform X1
aten_0.1.m1.21054.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.21055.m1	F-box only 11-like
aten_0.1.m1.21056.m1	D-inositol 3-phosphate glycosyltransferase-like
aten_0.1.m1.21057.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.21059.m1	jmjC domain-containing 4
aten_0.1.m1.2106.m1	Disintegrin and metallo ase domain-containing 29
aten_0.1.m1.21060.m1	Retrovirus-related Pol poly from transposon 412
aten_0.1.m1.21061.m1	G- -signaling modulator 2-like
aten_0.1.m1.21062.m1	G- -signaling modulator 2-like
aten_0.1.m1.21063.m1	F-box only 11-like
aten_0.1.m1.21064.m1	G- -signaling modulator 2-like
aten_0.1.m1.21065.m1	G- -signaling modulator 2-like isoform X2
aten_0.1.m1.21066.m1	tyrosine- phosphatase non-receptor type 23-like
aten_0.1.m1.21067.m1	jmjC domain-containing 4-like
aten_0.1.m1.21069.m1	GRIP and coiled-coil domain-containing 2-like
aten_0.1.m1.2107.m1	PREDICTED: uncharacterized protein LOC107332275 isoform X1
aten_0.1.m1.21070.m1	Tyrosine- phosphatase non-receptor type 23
aten_0.1.m1.21071.m1	MATH and LRR domain-containing PFE0570w-like
aten_0.1.m1.21072.m1	vacuolar 8-like
aten_0.1.m1.21074.m1	Bromo adjacent-likey domain-containing 1
aten_0.1.m1.21075.m1	chondroitin sulfate N-acetylgalactosaminyltransferase 1-like
aten_0.1.m1.21076.m1	N-alpha-acetyltransferase 20
aten_0.1.m1.21077.m1	jmjC domain-containing 4-like
aten_0.1.m1.21078.m1	hypothetical protein AWC38_SpisGene24840, partial
aten_0.1.m1.21079.m1	armadillo repeat-containing 8-like
aten_0.1.m1.2108.m1	hypothetical protein AC249_AIPGENE26756
aten_0.1.m1.21080.m1	armadillo repeat-containing 8-like isoform X1
aten_0.1.m1.21081.m1	multifunctional methyltransferase subunit TRM112 isoform X2
aten_0.1.m1.21082.m1	Peroxinectin A
aten_0.1.m1.21083.m1	Toll-like receptor
aten_0.1.m1.21084.m1	Toll-like receptor
aten_0.1.m1.21085.m1	Toll-like receptor
aten_0.1.m1.21086.m1	Arylsulfatase B
aten_0.1.m1.21087.m1	Coiled-coil domain-containing 51
aten_0.1.m1.21088.m1	Deleted in malignant brain tumors 1
aten_0.1.m1.2109.m1	coadhesin-like isoform X5
aten_0.1.m1.21090.m1	LETM1 domain-containing 1-like
aten_0.1.m1.21091.m1	PREDICTED: uncharacterized protein LOC107339089 isoform X1
aten_0.1.m1.21092.m1	uncharacterized protein LOC110045891
aten_0.1.m1.21094.m1	methyltransferase mitochondrial
aten_0.1.m1.21095.m1	mucin-2-like isoform X1
aten_0.1.m1.21096.m1	PREDICTED: uncharacterized protein LOC107339089 isoform X2
aten_0.1.m1.21097.m1	#NAME?
aten_0.1.m1.21098.m1	leucine-rich PPR motif-containing mitochondrial-like
aten_0.1.m1.21099.m1	CLK4-associating serine arginine rich -like isoform X2
aten_0.1.m1.211.m1	myb X
aten_0.1.m1.2110.m1	PREDICTED: uncharacterized protein LOC107332275 isoform X1
aten_0.1.m1.21100.m1	leucine-rich PPR motif-containing mitochondrial-like
aten_0.1.m1.21101.m1	tRNA wybutosine-synthesizing 5-like
aten_0.1.m1.21102.m1	ATP-dependent DNA helicase
aten_0.1.m1.21103.m1	dentin sialophospho -like
aten_0.1.m1.21104.m1	potassium voltage-gated channel subfamily H member 8-like
aten_0.1.m1.21105.m1	probable glyco hormone G- coupled receptor
aten_0.1.m1.21106.m1	tRNA wybutosine-synthesizing 5-like
aten_0.1.m1.21108.m1	sodium-dependent phosphate transport 2B-like
aten_0.1.m1.21109.m1	transient receptor potential cation channel subfamily M member 6-like
aten_0.1.m1.21110.m1	RNA-directed DNA polymerase from mobile element jockey-like
aten_0.1.m1.21111.m1	zinc finger CCCH domain-containing 15 homolog
aten_0.1.m1.21112.m1	PREDICTED: uncharacterized protein LOC107339097 isoform X2
aten_0.1.m1.21113.m1	heterogeneous nuclear ribonucleo U 1 isoform X1
aten_0.1.m1.21114.m1	peroxiredoxin- mitochondrial-like
aten_0.1.m1.21115.m1	lutropin-choriogonadotropic hormone receptor-like
aten_0.1.m1.21116.m1	AP-4 complex subunit mu-like
aten_0.1.m1.21117.m1	Heat shock factor 2
aten_0.1.m1.21118.m1	activin receptor type-1-like
aten_0.1.m1.21119.m1	bone morphogenetic receptor type-1B isoform X1
aten_0.1.m1.2112.m1	Collagen alpha-5(VI) chain
aten_0.1.m1.21120.m1	COP9 signalosome complex subunit 8-like
aten_0.1.m1.21121.m1	PREDICTED: uncharacterized protein LOC107339100
aten_0.1.m1.21122.m1	uncharacterized protein LOC110067239
aten_0.1.m1.21123.m1	uncharacterized protein LOC111329493 isoform X3
aten_0.1.m1.21124.m1	omega-6 fatty acid endoplasmic reticulum isozyme 1-like
aten_0.1.m1.21125.m1	UPF0577 KIAA1324-like
aten_0.1.m1.21126.m1	prostaglandin E2 receptor EP4 subtype-like
aten_0.1.m1.21127.m1	PREDICTED: uncharacterized protein LOC107352104
aten_0.1.m1.21128.m1	uncharacterized protein LOC110061717
aten_0.1.m1.21129.m1	E3 ubiquitin- ligase NRDP1-like
aten_0.1.m1.2113.m1	collagen alpha-1(III) chain-like
aten_0.1.m1.21130.m1	PREDICTED: uncharacterized protein LOC107352105
aten_0.1.m1.21135.m1	L-ascorbate oxidase-like
aten_0.1.m1.21136.m1	solute carrier family 35 member F5-like isoform X2
aten_0.1.m1.21137.m1	Ectonucleotide pyrophosphatase phosphodiesterase family member 5
aten_0.1.m1.21139.m1	PREDICTED: uncharacterized protein LOC107352104
aten_0.1.m1.21141.m1	PREDICTED: uncharacterized protein LOC107352105
aten_0.1.m1.21143.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.21144.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.21145.m1	stoned B -like
aten_0.1.m1.21146.m1	D-tyrosyl-tRNA(Tyr) deacylase 1-like
aten_0.1.m1.21147.m1	REST corepressor 3-like
aten_0.1.m1.21149.m1	zinc finger MYM-type 2-like
aten_0.1.m1.21150.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.21151.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.21152.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.21154.m1	Acidic endochitinase
aten_0.1.m1.21155.m1	THAP domain-containing 6
aten_0.1.m1.21156.m1	---NA---
aten_0.1.m1.21158.m1	PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC107342636
aten_0.1.m1.21159.m1	peroxidasin homolog
aten_0.1.m1.21160.m1	PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC107342636
aten_0.1.m1.21161.m1	PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC107342636
aten_0.1.m1.21162.m1	PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC107342636
aten_0.1.m1.21163.m1	PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC107342636
aten_0.1.m1.21164.m1	PREDICTED: uncharacterized protein LOC107337487
aten_0.1.m1.21165.m1	fibroblast growth factor receptor 4-like isoform X1
aten_0.1.m1.21166.m1	peroxidasin homolog
aten_0.1.m1.21167.m1	uncharacterized threonine-rich GPI-anchored glyco -like
aten_0.1.m1.21168.m1	PREDICTED: uncharacterized protein LOC107344737
aten_0.1.m1.2117.m1	collagen alpha-1(III) chain-like
aten_0.1.m1.21170.m1	---NA---
aten_0.1.m1.21171.m1	homeodomain-interacting kinase 2-like isoform X2
aten_0.1.m1.21172.m1	histone-lysine N-methyltransferase SETDB1-like
aten_0.1.m1.21173.m1	arginine kinase-like isoform X2
aten_0.1.m1.21174.m1	uncharacterized skeletal organic matrix 1-like
aten_0.1.m1.21175.m1	uncharacterized skeletal organic matrix 1-like
aten_0.1.m1.21176.m1	uncharacterized skeletal organic matrix 1-like
aten_0.1.m1.21177.m1	uncharacterized skeletal organic matrix 1-like
aten_0.1.m1.21178.m1	Retrovirus-related Pol poly from transposon opus
aten_0.1.m1.21179.m1	zinc-binding alcohol dehydrogenase domain-containing 2-like
aten_0.1.m1.2118.m1	collagen alpha-1(III) chain-like
aten_0.1.m1.21180.m1	serine arginine repetitive matrix 2-like
aten_0.1.m1.21181.m1	autophagy-related 13-like
aten_0.1.m1.21182.m1	AP-2 complex subunit alpha-2-like
aten_0.1.m1.21183.m1	Leucine-rich repeat and fibronectin type-III domain-containing 5
aten_0.1.m1.21184.m1	2 -deoxynucleoside 5 -phosphate N-hydrolase 1
aten_0.1.m1.21185.m1	leucine-rich repeat-containing DDB_G0281931 isoform X1
aten_0.1.m1.21186.m1	apoptosis inhibitor 5-like
aten_0.1.m1.21187.m1	activating transcription factor 7-interacting 1-like
aten_0.1.m1.21189.m1	bombesin receptor-activated C6orf89 homolog
aten_0.1.m1.2119.m1	hypothetical protein AWC38_SpisGene19205
aten_0.1.m1.21190.m1	mediator of RNA polymerase II transcription subunit 15-like
aten_0.1.m1.21191.m1	40S ribosomal S16
aten_0.1.m1.21192.m1	---NA---
aten_0.1.m1.21193.m1	glycine-rich 23-like isoform X4
aten_0.1.m1.21194.m1	telomere length regulation TEL2 homolog
aten_0.1.m1.21195.m1	mediator of RNA polymerase II transcription subunit 15-like
aten_0.1.m1.21197.m1	PREDICTED: uncharacterized protein LOC107332792
aten_0.1.m1.21198.m1	PREDICTED: uncharacterized protein LOC107332797
aten_0.1.m1.21199.m1	C-type lectin domain family member A
aten_0.1.m1.212.m1	Transient receptor potential cation channel subfamily V member 4
aten_0.1.m1.21200.m1	PREDICTED: uncharacterized protein LOC107332794
aten_0.1.m1.21201.m1	Retrovirus-related Pol poly from type-1 retrotransposable element R2
aten_0.1.m1.21202.m1	proteoglycan 4-like isoform X1
aten_0.1.m1.21203.m1	transcriptional regulator ATRX homolog
aten_0.1.m1.21204.m1	transcription initiation factor TFIID subunit 11-like
aten_0.1.m1.21205.m1	Myotubularin-related 5
aten_0.1.m1.21206.m1	Receptor-type tyrosine- phosphatase R
aten_0.1.m1.21207.m1	saal1-like isoform X2
aten_0.1.m1.21208.m1	PREDICTED: uncharacterized protein KIAA0930-like
aten_0.1.m1.21209.m1	GRIP and coiled-coil domain-containing 1-like
aten_0.1.m1.2121.m1	nuclease HARBI1
aten_0.1.m1.21210.m1	NEDD8-conjugating enzyme Ubc12
aten_0.1.m1.21211.m1	branched-chain-amino-acid aminotransferase-like
aten_0.1.m1.21212.m1	F-box only 47-like
aten_0.1.m1.21213.m1	Radial spoke head 10-like B
aten_0.1.m1.21215.m1	Radial spoke head 10-like B
aten_0.1.m1.21216.m1	circadian locomoter output cycles kaput-like
aten_0.1.m1.21218.m1	disrupted in renal carcinoma 2 homolog
aten_0.1.m1.21219.m1	lipoyltransferase mitochondrial-like
aten_0.1.m1.21221.m1	kinesin KIF18A
aten_0.1.m1.21222.m1	PREDICTED: uncharacterized protein LOC107348449
aten_0.1.m1.21223.m1	hypothetical protein AWC38_SpisGene4231
aten_0.1.m1.21224.m1	Retrovirus-related Pol poly from transposon 412
aten_0.1.m1.21225.m1	cytoskeleton-associated 5-like
aten_0.1.m1.21226.m1	myelin regulatory factor-like isoform X3
aten_0.1.m1.21227.m1	Retrovirus-related Pol poly
aten_0.1.m1.21228.m1	Mitochondrial dynamics MID51
aten_0.1.m1.2123.m1	collagen alpha-1(II) chain-like
aten_0.1.m1.21230.m1	UPF0705 C11orf49 homolog
aten_0.1.m1.21231.m1	PREDICTED: uncharacterized protein LOC107348457
aten_0.1.m1.21232.m1	---NA---
aten_0.1.m1.21233.m1	PIH1 domain-containing 1-like
aten_0.1.m1.21234.m1	transmembrane 117-like
aten_0.1.m1.21235.m1	calmodulin-like isoform X1
aten_0.1.m1.21236.m1	RNA cytidine acetyltransferase-like
aten_0.1.m1.21237.m1	ATP-dependent DNA helicase hus2 rqh1-like
aten_0.1.m1.21238.m1	Eukaryotic translation initiation factor 3 subunit M
aten_0.1.m1.21239.m1	PREDICTED: uncharacterized protein LOC107348444
aten_0.1.m1.21241.m1	eukaryotic translation initiation factor 3 subunit M-like
aten_0.1.m1.21242.m1	eukaryotic translation initiation factor 3 subunit M-like isoform X1
aten_0.1.m1.21243.m1	neuronal acetylcholine receptor subunit alpha-7-like
aten_0.1.m1.21244.m1	Sodium hydrogen exchanger 10
aten_0.1.m1.21245.m1	neo-calmodulin-like isoform X1
aten_0.1.m1.21246.m1	sodium hydrogen exchanger 10-like
aten_0.1.m1.21247.m1	calmodulin-alpha-like isoform X3
aten_0.1.m1.21248.m1	ficolin-2-like isoform X1
aten_0.1.m1.2125.m1	sperm-associated antigen 16 -like
aten_0.1.m1.21250.m1	RING finger 141-like
aten_0.1.m1.21251.m1	testis-specific serine threonine- kinase 1-like
aten_0.1.m1.21252.m1	rho guanine nucleotide exchange factor 39-like
aten_0.1.m1.21253.m1	ankyrin repeat and sterile alpha motif domain-containing 1B-like isoform X1
aten_0.1.m1.21254.m1	calumenin-like isoform X3
aten_0.1.m1.21255.m1	PREDICTED: uncharacterized protein LOC107337597
aten_0.1.m1.21256.m1	activating molecule in BECN1-regulated autophagy 1-like
aten_0.1.m1.21257.m1	PREDICTED: uncharacterized protein LOC107337624 isoform X1
aten_0.1.m1.21258.m1	vesicle transport GOT1B-like
aten_0.1.m1.21259.m1	activin receptor type-2B-like isoform X1
aten_0.1.m1.2126.m1	homeobox Hox-D9a-like
aten_0.1.m1.21260.m1	PREDICTED: uncharacterized protein LOC107337591
aten_0.1.m1.21261.m1	bromodomain testis-specific -
aten_0.1.m1.21262.m1	KRR1 small subunit processome component homolog
aten_0.1.m1.21263.m1	PREDICTED: uncharacterized protein LOC107339190
aten_0.1.m1.21264.m1	DNA-binding D-ETS-4-like isoform X3
aten_0.1.m1.21265.m1	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SEC
aten_0.1.m1.21266.m1	nuclease HARBI1
aten_0.1.m1.21267.m1	elongation of very long chain fatty acids 4-like isoform X2
aten_0.1.m1.21268.m1	PREDICTED: uncharacterized protein LOC107328347 isoform X1
aten_0.1.m1.21269.m1	hypothetical protein AC249_AIPGENE576
aten_0.1.m1.2127.m1	collagen alpha chain-like
aten_0.1.m1.21270.m1	elongation of very long chain fatty acids 5-like isoform X1
aten_0.1.m1.21271.m1	elongation of very long chain fatty acids 5-like isoform X1
aten_0.1.m1.21272.m1	elongation of very long chain fatty acids 5-like isoform X1
aten_0.1.m1.21273.m1	F-box LRR-repeat 6
aten_0.1.m1.21274.m1	---NA---
aten_0.1.m1.21276.m1	elongation of very long chain fatty acids 4-like isoform X1
aten_0.1.m1.21277.m1	alpha- kinase 2
aten_0.1.m1.21278.m1	PREDICTED: uncharacterized protein LOC107328350 isoform X1
aten_0.1.m1.21279.m1	dual specificity mitogen-activated kinase kinase 1
aten_0.1.m1.21280.m1	PREDICTED: uncharacterized protein LOC107334268, partial
aten_0.1.m1.21282.m1	Sulfatase-modifying factor 1
aten_0.1.m1.21283.m1	PREDICTED: uncharacterized protein LOC107344488 isoform X3
aten_0.1.m1.21285.m1	---NA---
aten_0.1.m1.21286.m1	uncharacterized protein LOC106177367 isoform X2
aten_0.1.m1.21288.m1	PREDICTED: uncharacterized protein LOC107341000
aten_0.1.m1.21289.m1	putative transposase-like protein
aten_0.1.m1.2129.m1	IQ calmodulin-binding motif-containing 1-like
aten_0.1.m1.21290.m1	integrator complex subunit 3-like
aten_0.1.m1.21292.m1	---NA---
aten_0.1.m1.21293.m1	avidin-related 4 5-
aten_0.1.m1.21294.m1	---NA---
aten_0.1.m1.21295.m1	avidin-related 4 5-
aten_0.1.m1.21296.m1	Alpha- kinase 2
aten_0.1.m1.21299.m1	PREDICTED: uncharacterized protein LOC107344488 isoform X1
aten_0.1.m1.213.m1	tyrosine- phosphatase non-receptor type 13-like isoform X1
aten_0.1.m1.21300.m1	GFP-like chromo
aten_0.1.m1.21301.m1	Acidic endochitinase
aten_0.1.m1.21302.m1	PREDICTED: uncharacterized protein LOC107328277
aten_0.1.m1.21303.m1	---NA---
aten_0.1.m1.21304.m1	hypothetical protein AWC38_SpisGene5449
aten_0.1.m1.21305.m1	uncharacterized protein LOC111340914, partial
aten_0.1.m1.21307.m1	PREDICTED: uncharacterized protein LOC107334268, partial
aten_0.1.m1.21308.m1	GFP-like chromo
aten_0.1.m1.21309.m1	D-inositol 3-phosphate glycosyltransferase-like
aten_0.1.m1.2131.m1	homeobox MOX-2-like
aten_0.1.m1.21311.m1	Lysyl oxidase-like 4
aten_0.1.m1.21312.m1	GFP-like chromo
aten_0.1.m1.21313.m1	fluorescent
aten_0.1.m1.21314.m1	ATP-dependent DNA helicase PIF1
aten_0.1.m1.21316.m1	GFP-like chromo
aten_0.1.m1.21317.m1	Catenin beta
aten_0.1.m1.21318.m1	uncharacterized protein LOC111347231 isoform X1
aten_0.1.m1.2132.m1	Homeobox MOX-1
aten_0.1.m1.21320.m1	LINE-1 reverse transcriptase-like
aten_0.1.m1.21321.m1	PREDICTED: uncharacterized protein LOC107356006 isoform X1
aten_0.1.m1.21322.m1	THAP domain-containing 5-like
aten_0.1.m1.21324.m1	neogenin-like isoform X1
aten_0.1.m1.21326.m1	islet cell autoantigen 1-like
aten_0.1.m1.21327.m1	neogenin-like isoform X1
aten_0.1.m1.21328.m1	neogenin-like isoform X1
aten_0.1.m1.21329.m1	hypothetical protein AC249_AIPGENE9566
aten_0.1.m1.2133.m1	mitochondrial import receptor subunit TOM7 homolog
aten_0.1.m1.21330.m1	netrin receptor DCC-like
aten_0.1.m1.21331.m1	tetratricopeptide repeat 28-like isoform X2
aten_0.1.m1.21332.m1	tetratricopeptide repeat 28-like
aten_0.1.m1.21333.m1	tetratricopeptide repeat 28-like
